,feature,BackwardElimination,MutualInformation,RFE,SelectKBest,VarianceThreshold,VIF,STEF-Rank
0,FlowID,0,1,0,0,1,1,0.6
1,SourceIP,1,1,1,1,0,1,0.6166666666666667
2,SourcePort,1,1,0,1,1,1,0.7333333333333334
3,DestinationIP,1,1,1,0,0,1,0.65
4,DestinationPort,0,1,0,0,1,1,0.5666666666666667
5,Protocol,0,1,1,0,0,0,0.5166666666666667
6,FlowDuration,0,1,1,1,0,0,0.7999999999999999
7,TotalFwdPackets,1,1,1,0,0,0,0.4
8,TotalBackwardPackets,1,1,1,1,0,0,0.6166666666666667
9,TotalLengthofFwdPackets,1,1,1,0,0,0,0.4833333333333333
10,TotalLengthofBwdPackets,0,1,1,0,0,0,0.5666666666666668
11,FwdPacketLengthMax,1,1,0,0,0,0,0.5499999999999999
12,FwdPacketLengthMin,1,1,1,0,0,0,0.6166666666666667
13,FwdPacketLengthMean,1,1,1,0,0,0,0.5833333333333334
14,FwdPacketLengthStd,1,1,0,1,0,0,0.6833333333333332
15,BwdPacketLengthMax,1,1,0,1,0,0,0.7166666666666667
16,BwdPacketLengthMin,1,1,1,1,0,1,0.6833333333333332
17,BwdPacketLengthMean,1,1,1,1,0,0,0.7333333333333334
18,BwdPacketLengthStd,1,0,1,1,0,0,0.5499999999999999
19,FlowBytes/s,0,1,0,0,0,0,0.43333333333333335
20,FlowPackets/s,1,1,1,0,1,0,0.6166666666666667
21,FlowIATMean,1,1,1,0,0,0,0.6666666666666666
22,FlowIATStd,1,1,1,1,0,0,0.7666666666666666
23,FlowIATMax,1,1,1,1,0,0,0.8333333333333334
24,FlowIATMin,1,0,1,0,0,0,0.4
25,FwdIATTotal,1,1,0,1,0,0,0.7666666666666666
26,FwdIATMean,1,1,1,1,0,0,0.7166666666666668
27,FwdIATStd,1,1,1,1,0,0,0.8166666666666668
28,FwdIATMax,0,1,1,1,0,0,0.8333333333333334
29,FwdIATMin,1,1,1,0,0,0,0.45
30,BwdIATTotal,1,1,1,1,0,0,0.7666666666666666
31,BwdIATMean,1,1,0,1,0,0,0.6333333333333333
32,BwdIATStd,1,1,1,1,0,0,0.6333333333333333
33,BwdIATMax,1,1,1,1,0,0,0.75
34,BwdIATMin,1,1,0,1,0,1,0.7000000000000001
35,FwdPSHFlags,1,0,1,1,0,0,0.6
36,BwdPSHFlags,0,0,0,0,0,0,0.11666666666666665
37,FwdURGFlags,0,0,0,0,0,0,0.10000000000000002
38,BwdURGFlags,0,0,0,0,0,0,0.05000000000000001
39,FwdHeaderLength,0,1,1,0,0,0,0.5499999999999999
40,BwdHeaderLength,1,1,0,0,0,1,0.4833333333333334
41,FwdPackets/s,1,1,1,0,1,0,0.6666666666666666
42,BwdPackets/s,1,1,1,0,0,0,0.43333333333333335
43,MinPacketLength,0,1,0,0,0,0,0.6
44,MaxPacketLength,1,1,0,0,0,0,0.5333333333333333
45,PacketLengthMean,1,1,1,0,0,0,0.6
46,PacketLengthStd,1,1,1,1,0,0,0.6999999999999998
47,PacketLengthVariance,1,1,1,1,0,0,0.6
48,FINFlagCount,0,0,0,0,0,0,0.05000000000000001
49,SYNFlagCount,0,0,0,0,0,0,0.03333333333333333
50,RSTFlagCount,0,0,1,1,0,0,0.6166666666666667
51,PSHFlagCount,0,0,0,0,0,0,0.03333333333333333
52,ACKFlagCount,1,0,0,1,0,1,0.5
53,URGFlagCount,1,1,0,1,0,0,0.6333333333333333
54,CWEFlagCount,1,0,0,1,0,1,0.4166666666666667
55,ECEFlagCount,0,0,0,0,0,0,0.03333333333333333
56,Down/UpRatio,1,1,1,1,0,1,0.5833333333333334
57,AveragePacketSize,1,1,1,0,0,0,0.5166666666666667
58,AvgFwdSegmentSize,0,1,1,0,0,0,0.5833333333333334
59,AvgBwdSegmentSize,0,1,1,1,0,0,0.7166666666666667
60,FwdHeaderLength.1,0,1,1,0,0,0,0.5499999999999999
61,FwdAvgBytes/Bulk,0,0,0,0,0,0,0.06666666666666668
62,FwdAvgPackets/Bulk,0,0,0,0,0,0,0.05
63,FwdAvgBulkRate,0,0,0,0,0,0,0.03333333333333333
64,BwdAvgBytes/Bulk,0,0,0,0,0,0,0.03333333333333333
65,BwdAvgPackets/Bulk,0,0,0,0,0,0,0.016666666666666666
66,BwdAvgBulkRate,0,0,0,0,0,0,0.0
67,SubflowFwdPackets,0,1,1,0,0,0,0.43333333333333335
68,SubflowFwdBytes,0,1,1,0,0,0,0.45
69,SubflowBwdPackets,0,1,1,1,0,0,0.5666666666666667
70,SubflowBwdBytes,1,1,1,0,0,0,0.6333333333333333
71,Init_Win_bytes_forward,0,1,0,1,0,1,0.75
72,Init_Win_bytes_backward,0,1,0,1,0,1,0.6833333333333335
73,act_data_pkt_fwd,1,1,1,0,0,0,0.4833333333333334
74,min_seg_size_forward,0,1,0,0,1,0,0.3666666666666667
75,ActiveMean,1,0,1,1,0,0,0.3333333333333333
76,ActiveStd,1,0,0,0,0,0,0.25
77,ActiveMax,1,0,1,1,0,0,0.4
78,ActiveMin,1,0,1,1,0,0,0.30000000000000004
79,IdleMean,1,0,1,1,0,0,0.6
80,IdleStd,0,0,1,1,0,0,0.35000000000000003
81,IdleMax,0,0,1,1,0,0,0.6666666666666666
82,IdleMin,1,0,1,1,0,0,0.5666666666666667
83,SimillarHTTP,1,0,0,1,0,1,0.4833333333333333
84,Inbound,0,1,0,0,1,1,0.5666666666666667
