,feature,BackwardElimination,MutualInformation,RFE,SelectKBest,VarianceThreshold,VIF,STEF-Rank
0,DestinationPort,1,1,1,1,1,1,1.0
1,FlowDuration,1,1,0,0,1,0,0.5666666666666667
2,TotalFwdPackets,1,1,1,0,0,0,0.45
3,TotalBackwardPackets,1,1,1,0,0,0,0.5166666666666667
4,TotalLengthofFwdPackets,0,1,1,1,0,0,0.7000000000000001
5,TotalLengthofBwdPackets,0,1,1,0,0,0,0.4833333333333333
6,FwdPacketLengthMax,1,1,1,1,1,0,0.8333333333333334
7,FwdPacketLengthMin,1,1,1,1,1,1,0.8333333333333334
8,FwdPacketLengthMean,1,1,1,1,1,0,0.7333333333333334
9,FwdPacketLengthStd,1,1,1,1,1,0,0.8166666666666668
10,BwdPacketLengthMax,1,1,1,1,1,0,0.8166666666666668
11,BwdPacketLengthMin,0,1,0,1,0,1,0.8333333333333334
12,BwdPacketLengthMean,1,1,1,1,1,0,0.7833333333333333
13,BwdPacketLengthStd,1,1,1,1,1,0,0.8166666666666668
14,FlowBytes/s,1,1,1,0,0,1,0.75
15,FlowPackets/s,1,1,1,0,0,0,0.6166666666666667
16,FlowIATMean,1,1,1,0,0,0,0.6
17,FlowIATStd,0,1,1,1,1,0,0.7333333333333334
18,FlowIATMax,1,1,1,1,1,0,0.7666666666666666
19,FlowIATMin,1,1,0,0,0,0,0.5
20,FwdIATTotal,1,1,0,0,1,0,0.4833333333333333
21,FwdIATMean,0,1,1,0,0,0,0.5499999999999999
22,FwdIATStd,0,1,1,1,1,0,0.7166666666666667
23,FwdIATMax,0,1,0,1,1,0,0.7666666666666666
24,FwdIATMin,1,1,1,0,0,0,0.6333333333333334
25,BwdIATTotal,1,1,0,1,1,0,0.65
26,BwdIATMean,0,1,0,1,0,0,0.65
27,BwdIATStd,1,1,1,1,1,0,0.8333333333333334
28,BwdIATMax,0,1,1,1,1,0,0.8166666666666668
29,BwdIATMin,1,1,1,1,0,0,0.7166666666666667
30,FwdPSHFlags,1,1,1,1,1,0,0.6666666666666666
31,BwdPSHFlags,1,0,0,0,0,0,0.11666666666666665
32,FwdURGFlags,1,0,0,0,0,0,0.06666666666666668
33,BwdURGFlags,1,0,0,0,0,0,0.016666666666666666
34,FwdHeaderLength,1,1,1,0,0,0,0.5166666666666666
35,BwdHeaderLength,0,1,1,0,0,0,0.5
36,FwdPackets/s,1,1,1,1,0,0,0.7333333333333334
37,BwdPackets/s,0,1,1,0,0,1,0.5333333333333333
38,MinPacketLength,1,1,1,1,0,1,0.9166666666666666
39,MaxPacketLength,1,1,1,1,1,0,0.8333333333333334
40,PacketLengthMean,0,1,0,1,1,0,0.65
41,PacketLengthStd,0,1,0,1,1,0,0.6
42,PacketLengthVariance,1,1,1,1,1,0,0.8333333333333334
43,FINFlagCount,0,0,0,0,0,1,0.6
44,SYNFlagCount,1,1,1,1,1,0,0.6833333333333332
45,RSTFlagCount,0,0,0,0,0,0,0.3
46,PSHFlagCount,1,1,0,1,1,0,0.5166666666666667
47,ACKFlagCount,1,1,1,1,1,1,0.7999999999999999
48,URGFlagCount,1,1,1,1,1,1,0.8666666666666667
49,CWEFlagCount,0,0,0,0,0,0,0.05000000000000001
50,ECEFlagCount,1,0,0,0,0,0,0.3
51,Down/UpRatio,0,1,0,1,1,1,0.7833333333333333
52,AveragePacketSize,1,1,1,1,1,0,0.7999999999999999
53,AvgFwdSegmentSize,0,1,1,1,1,0,0.8166666666666668
54,AvgBwdSegmentSize,1,1,1,1,1,0,0.75
55,FwdHeaderLength.1,1,1,1,0,0,0,0.5499999999999999
56,FwdAvgBytes/Bulk,1,0,0,0,0,0,0.2
57,FwdAvgPackets/Bulk,1,0,0,0,0,0,0.18333333333333332
58,FwdAvgBulkRate,1,0,0,0,0,0,0.18333333333333332
59,BwdAvgBytes/Bulk,1,0,0,0,0,0,0.11666666666666665
60,BwdAvgPackets/Bulk,1,0,0,0,0,0,0.08333333333333333
61,BwdAvgBulkRate,1,0,0,0,0,0,0.06666666666666668
62,SubflowFwdPackets,0,1,1,0,0,0,0.45
63,SubflowFwdBytes,0,1,1,1,0,0,0.7000000000000001
64,SubflowBwdPackets,0,1,1,0,0,0,0.4166666666666667
65,SubflowBwdBytes,0,1,1,0,0,0,0.4166666666666667
66,Init_Win_bytes_forward,1,1,1,0,1,1,0.75
67,Init_Win_bytes_backward,1,1,0,1,0,1,0.7666666666666666
68,act_data_pkt_fwd,0,1,1,0,0,0,0.4666666666666667
69,min_seg_size_forward,0,1,0,1,1,1,0.7666666666666666
70,ActiveMean,1,1,1,0,0,0,0.5666666666666667
71,ActiveStd,1,1,0,0,0,0,0.4166666666666667
72,ActiveMax,0,1,0,0,0,0,0.4833333333333333
73,ActiveMin,1,1,1,0,0,0,0.5499999999999999
74,IdleMean,0,1,1,1,1,0,0.7166666666666667
75,IdleStd,0,1,1,1,1,0,0.7000000000000001
76,IdleMax,0,1,1,1,1,0,0.6833333333333332
77,IdleMin,1,1,1,0,1,0,0.6
